path,sha256,firstCommit,category,action,packaging,rationale,sourceEvidence
src/main/java/com/dpscalc/scenario/CoverageWarnings.java,220e6c0e409e981d355a1b5bfe49cc41c9d58f01e357fe3f39a705cc615bf0a4,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/DistributionAnalysis.java,74af3f0819e5d2604b49b2502ef1441d5805053aecf3dfb381b6fcd5aeddf689,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/Encounter.java,fd51692116b53e96c1d22eb45e910ff2c415f3bb7c12d35e6b8de5bc59ab353e,c0b98dd2098b5aa2901d5a04d0f22da90d7be3d5,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/EncounterPanel.java,0b6e0e40f9941291b1bf4129348f5c3d8628b4565f59d066473321fc08e24e31,c0b98dd2098b5aa2901d5a04d0f22da90d7be3d5,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/FieldEditor.java,e2eed2bb78a8712924dbc49acac911436af62ac13298ac60d24fc4126452fc53,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/InventoryPreview.java,2b26ab8d1d2652a2e589461ecdc5e350685ebae53d3832f7c2c27ce685d714ac,06d45a5f2a52cd101fbf9c98d50ec1e21eb36ea8,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/LoadoutLibrary.java,861e9e7ab756a44841dfbc0bd1f4231e916d487f05e4e1dd51692960b9e94090,dacc1f88ac4867e071fa40ece955951edd41d47b,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/LoadoutPreview.java,20a49bbdbfea135533dac5ce7dd54cc60429614109831f3bb151d3f98e3963e2,bb0fdbd4dc90a73647f40b866994ef8bcd254f85,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/LoadoutTabs.java,f3917c87c706a72d473bb40b69b9d4e78bbf7eb019f113d25f3cdb9b7f2ed202,c432641da6391b89586aeff53f8dd0cf85b05c04,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/OptimizerSpell.java,8890689c25f636027d804c3280154f8ca2971bd1436f15d3f0fef7d0d02fd429,6a95c247b80573be54d0a771926417d55ffb41ca,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/OwnedEquipment.java,749a54737479f119119159555732e32852bd4840fa0cf14b6d56bb10a6b9c56b,10e45ea216379e6ea852be7726fa0d3f44caf2ac,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/PlotPanel.java,26eb734ef94d20b4d67b1a752d6842e346e9a544b7736f2ad990e9fe72c35b28,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/PotionSelection.java,0a817864738e93a71c94f9c40084e2a3cda63359862d4dd1f3bb6b3012b197aa,675ba7a9b382758d74d20993885999f2fb14eb5e,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/Scenario.java,09103ea972686b36ed794a06fa616ed4ded79efeddebe00a20c646d8207be4b0,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/ScenarioCalculator.java,f8b1200a26f2d9d357915e008330008e2a90eca2f075470404e5964e50b393f0,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/ScenarioPanel.java,03bb25060d3ac411ad7ab52c05bf71db9d4e37a00a19533a8007dcde86182c79,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/ScenarioStorage.java,f8f1bdca551c5d77eafd67636afbd71c047c958c73c685e29809af6394904fce,ee589e1a6dafe1f850f1d23a1b093258b30173b0,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/SetupItemIndex.java,74922c14db84e4b9206b4cee99d37781c9b81ff9dbe36f52c7fa40e366110070,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/SidebarScrolling.java,947f918fa2f7189ec6562868e8cf315da295d68bcab2c3c27d539e3fddf9a0c8,48255540019bb2d95ad94f798fc9c3fc9d26d170,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/VariantRequirements.java,34ed3b576c32df5c541bc1641c7cb30ceba4b773b93319891de6582b19fe2b7c,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/WeaponStyles.java,9b04d30694a424e0ec08e79b90cf0896f537d47911167a2e9c98906b4cf7d40a,675ba7a9b382758d74d20993885999f2fb14eb5e,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/WikiLoadouts.java,3c77104943cd466c9621087d0ff42f40bc4383581f983d4d7c7e537f0791599a,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/WikiSetupService.java,eeb749989fa43cd863fd127137fb1f87536a17e1a73a1933c1776ae10fc3d018,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/WikiTemplatePanel.java,792591dcb619ec3586a158b4d82023dbf273d87d25e38fde77dd0de2e54c4c80,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/WorkspacePersistence.java,9c2b729f53415998c15fd11fc7b0f4980f97136550e84596fcad13ac0dfb65b0,97a12813a7ae84a440a1c1280a2c85260684a27c,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/scenario/WorkspaceSection.java,13ec4cb1c606d651f04c66db962bec4791a852abed917544fad6ef95b748ce90,fe671698a5bb707ebd67f39c4fb431ab7934f435,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/state/AttackType.java,6d35c67181f1e8cd9e22767dd3d58c0fbedee5f18f6743598a10aef87285426b,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/state/AttackType.java [exact SHA-256]
src/main/java/com/dpscalc/state/CombatStyle.java,2200f8605f6eba5d8e09769726185af80c2de95e18c56bb10fdfb665f8201f1c,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/state/CombatStyle.java [same filename]
src/main/java/com/dpscalc/state/EquipmentSlot.java,6ca7e4a0ca5c2a0e0380ccd499ca690010a3d0d9f5cf5b4c833251b27b43955f,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/state/EquipmentSlot.java [exact SHA-256] ; https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/equipment/EquipmentSlot.java [same filename]
src/main/java/com/dpscalc/state/EquipmentStats.java,a162f0d0d2e917e30be558ad3d086ad05969c8241adc4c02069d9420ac61b98c,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/state/EquipmentStats.java [same filename]
src/main/java/com/dpscalc/state/PlayerState.java,1fb489c5c7aa08cdfeca441c656fcb1752b5b806cb3ae2db3f9ca316232c8f49,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/state/PlayerState.java [same filename]
src/main/java/com/dpscalc/state/PlayerStateManager.java,696e62d695d95096790ed5ff27d2e1e643a9385f9ff0663f5ac82dbe078a15e9,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/state/PlayerStateManager.java [same filename]
src/main/java/com/dpscalc/state/Prayer.java,bbddfa85c6f38e677caa67223dbc985dfb62fe9c978549df99980388eb08cb8e,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-source,replace,runtime,Native GPL source match/path or substantial token signal; local edits do not establish relicensing rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/java/com/dpscalc/state/Prayer.java [same filename]
src/main/java/com/dpscalc/wikisetups/WikiSetupOptions.java,bbdaf7d0a36b25a223fce9ac40ae0d21dc5ed213e64b4d6d4c062594b42de406,948742cd0026792e3150ed76f7b1ff20707a07ff,local-candidate,review-and-adapt,runtime,Local history; absence of an archive match is not proof of independent authorship.,
src/main/java/com/dpscalc/wikisetups/bank/ExampleGearEnricher.java,6048ab7c7ed996a6afae5d33b6d32d9d1677d8fe2d24f7586412d2e297c5bb54,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/bank/ExampleGearEnricher.java [same filename]
src/main/java/com/dpscalc/wikisetups/bank/InventoryPick.java,b3421df0f368f1ff46e048aeb4f8ac706f809d3eb818dfed220319b7cb4293d0,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/bank/InventoryPick.java [same filename]
src/main/java/com/dpscalc/wikisetups/bank/InventoryResolution.java,032723ff197849211a815271310fb7a8fe25f92f004050a56c3ec1623cd54282,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/bank/InventoryResolution.java [same filename]
src/main/java/com/dpscalc/wikisetups/bank/InventoryResolver.java,0e99c68f60ffd5c36888d77b2e52b8a1bcc76632cc109c15bb3450848601e79c,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/bank/InventoryResolver.java [same filename]
src/main/java/com/dpscalc/wikisetups/bank/OwnershipResolver.java,3caf18b9123302f384047876058fd4a411aa2dac12ebc6bc609497ab3c306784,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/bank/OwnershipResolver.java [same filename]
src/main/java/com/dpscalc/wikisetups/bank/PickStrategy.java,f51fae83f0bf2c1ea36714ca81b7cad1b018a9e66155de65571f148fbc0806d7,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/bank/PickStrategy.java [same filename]
src/main/java/com/dpscalc/wikisetups/bank/SetupResolution.java,63b632a6a616b31fcbbec57a4d350aa1939e119eb9ab8976e9cff3c42e91b850,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/bank/SetupResolution.java [same filename]
src/main/java/com/dpscalc/wikisetups/bank/SlotPick.java,0dbb96b638d71b34d4e8f33fd043da7ea788afeaf4d9fb824510f6812ce49e76,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/bank/SlotPick.java [same filename]
src/main/java/com/dpscalc/wikisetups/items/ConsumableGroups.java,0662a524c3bc3d0c7b313d1eb8424716cc7d331a1411474fcbd5fc75ea2264e8,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/items/ConsumableGroups.java [same filename]
src/main/java/com/dpscalc/wikisetups/items/ItemAliases.java,2d683aec5dc65eafe6c033648ec0fdaeb014adae6a3550d8855f6775f7e7e3d6,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/items/ItemAliases.java [same filename]
src/main/java/com/dpscalc/wikisetups/items/ItemNameIndex.java,00d0e8e2dcd1c11faf3f831901aa7974e5060487392bbe0e0646dad68092a034,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/items/ItemNameIndex.java [same filename]
src/main/java/com/dpscalc/wikisetups/items/ItemNames.java,c327d2924b5df386dfbc6388e1e92dcde02d994d2dc2f9f93598e733b1416770,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/items/ItemNames.java [same filename]
src/main/java/com/dpscalc/wikisetups/items/ItemResolver.java,c3c3fe297e4c720160e7530950757f4b5dbcd32c62d699de46d9d2483b782bd7,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/items/ItemResolver.java [same filename]
src/main/java/com/dpscalc/wikisetups/items/ItemSets.java,7e2c3644ada5f64bb1821354e06c582afe4277449ce3a2e5484c7061ec76cf1d,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/items/ItemSets.java [same filename]
src/main/java/com/dpscalc/wikisetups/items/PlaceholderItems.java,849f6266e6c43c40ac297070cba076385c10dc31be246ec9726c08ac48e35e5e,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/items/PlaceholderItems.java [same filename]
src/main/java/com/dpscalc/wikisetups/items/ResolvedItem.java,2e25458b8c79e296eba85f21bd0791012a7329f6e4e63da502b8bbc62928e49a,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/items/ResolvedItem.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/EquipSlot.java,d242dcbff59eb0f3a7843664d04926ce5925e9f80a1914b93c6f46644fdeaaf9,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/EquipSlot.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/ExampleSetup.java,5cfe18cac85c38b51efee1ba1200aa22cde963ebe45cc630841961a883cca14b,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/ExampleSetup.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/ExampleSetupParser.java,d935b746e52b5a8f2c356aeb8de5cc4e79c97ab027d87941f5924a66f8db2fdc,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/ExampleSetupParser.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/GearSetup.java,46d12832cd365c80a39bc62e89e90ebd40e2e85a0f2e9697d391ca20844cd3d9,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/GearSetup.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/GearSetupParser.java,7fdcbaee7aac8be4c6723bdd29bac1371aa82c15b20efd6112c0fc7f6564f5b3,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/GearSetupParser.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/GearSetups.java,0c72101df193e81ce621ffbf83086372707553dd4c9df9a3f7a0faa76aafac6a,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/GearSetups.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/InventoryParser.java,7e522a3231022cf282d7c744175764ff8c90c50e138bf648ad3e3de39da4a47a,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/InventoryParser.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/InventorySetup.java,9ac021dcdf99d50c4d9033def43e5b60e87f3bb4d63a65089088394ead992251,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/InventorySetup.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/PageDiscovery.java,4d87f46072310d9c96be6439762f4d44b8fc557f3d716d308f476b84a39f97f1,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/PageDiscovery.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/PageKind.java,0502e95df722ec858c855a4bdbfc822346744d5772c3321c8cca40320ecc3b46,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/PageKind.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/RankedItem.java,c69dbca6abb6fbb6e2cd0120882c77916407f8d715386cbb5a411ccae1db52b9,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/RankedItem.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/SearchResult.java,da443290424884f76b732c7d22b435f0511e42878cefb611e6c73090cc30cbb1,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/SearchResult.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/SectionLabels.java,8c4b485631e3ea79f5bd499e26ee9ce4a35f833d5247c4711fcf101f1db268b3,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/SectionLabels.java [same filename]
src/main/java/com/dpscalc/wikisetups/wiki/SetupPairing.java,34f1fe8b5a68b4fc352a15f5f9bc852894879438cbc047f97760acb9f45b25db,948742cd0026792e3150ed76f7b1ff20707a07ff,bsd-adapted,retain-with-notices-and-review,runtime,BSD Wiki Gear Setups lineage/header; inspect local additions for other sources.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/src/main/java/com/wikigearsetups/wiki/SetupPairing.java [same filename]
src/main/resources/META-INF/LICENSE,3972dc9744f6499f0f9b2dbf76696f2ae7ad8af9b23dde66d6af86c9dfb36986,d5da692ecfb032aa46502c194bbd257584c07e70,license-text,retain-until-migration,runtime,Current aggregate GPL license; do not replace while covered material remains.,https://github.com/weirdgloop/osrs-dps-calc/blob/89c3e25/LICENSE [exact SHA-256]
src/main/resources/META-INF/LICENSE-wiki-gear-setups,11320cae3892abe57473f8d0cc0894c94dea5cdef6e11c9b0bbd6dcbf518e857,948742cd0026792e3150ed76f7b1ff20707a07ff,attribution,preserve-and-update,runtime,Required provenance/third-party notices; duplicate runtime copies must remain consistent.,https://github.com/Jiimbones/wiki-gear-setups/blob/e836b8d156f0f5f9b7e6375bb04c52f21835ac19/LICENSE [exact SHA-256]
src/main/resources/META-INF/NOTICE.md,73e3157c97d763950f095f9c948c1164a5dec47ce621183c7de534999e06fc9b,d5da692ecfb032aa46502c194bbd257584c07e70,attribution,preserve-and-update,runtime,Required provenance/third-party notices; duplicate runtime copies must remain consistent.,
src/main/resources/com/dpscalc/equipment-requirements.json,0411eaa468ee0e6424d56a4ad5760022643427b0bb8e5d4f0baeb7e1aacd5ad0,10e45ea216379e6ea852be7726fa0d3f44caf2ac,gpl-data,replace,runtime,NOTICE records copied OSRSBox GPL-3.0 dataset dae12e3; rebuild data sourcing independently.,
src/main/resources/com/dpscalc/icon.png,b0f799018b4fb34349fad18ee8d6c42d497dcc56708432c9dac611b3184fc4ae,ee589e1a6dafe1f850f1d23a1b093258b30173b0,asset-review,replace-or-source-via-client,runtime,Image from attributed native/Wiki archives or undocumented export; underlying game artwork may have separate rights.,https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/icon.png [exact SHA-256] ; https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/resources/com/dpscalc/icon.png [exact SHA-256]
src/main/resources/com/dpscalc/monsters.json,909c316da2d4269e4de2a86506a588b2a9df93826e9e0016d121cfc5edc32fc1,ee589e1a6dafe1f850f1d23a1b093258b30173b0,gpl-data,replace,runtime,"Native/Wiki calculator data or generated fixtures per NOTICE; facts do not clear copied tables, generators or selection.",https://github.com/mcdalcin/better-dps-calculator/blob/3fd61bb/src/main/resources/com/dpscalc/monsters.json [exact SHA-256]
src/main/resources/com/dpscalc/optimizer-spell-levels.json,20f829faa84a79e23801451e13cd74f1accdaebc7c9488d3a412aa925abd2b88,6a95c247b80573be54d0a771926417d55ffb41ca,fact-table-review,rebuild-with-provenance,runtime,Locally assembled Wiki facts per NOTICE; document independent collection/schema.,
